Dan 1,55,56,57,59,65,310,311,312,313,314
08:00,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1
11:30,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3,13Е082М3
15:00,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС,13Е114МИПС
18:30,X,13Е054НМ,13Е054НМ,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1

Dan 2,55,56,57,59,65,310,311,312,313,314
08:00,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1,13С081М1
11:30,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ,13Е114ВЛСИ
15:00,X,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ,X,13Е042ЕЕ,13Е042ЕЕ,13Е042ЕЕ
18:30,X,13С113ПС,X,13С113ПС,13Е054УРВ,13С113ПС,13Е054УРВ,13Е054УРВ,13Е054УРВ,13Е054УРВ

Dan 3,55,56,57,59,65,310,311,312,313,314
08:00,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ,13С041ОЕ
11:30,X,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,13Е112ОО1,X,13Е112ОО1,13Е112ОО1,13Е112ОО1
15:00,X,13С113ИС,X,13С113ИС,13Е114ИС,13Е114ИС,13С113ИС,13Е114ИС,13Е114ИС,13С113ИС
18:30,X,X,X,X,X,X,X,X,X,X

Dan 4,55,56,57,59,65,310,311,312,313,314
08:00,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф,13С061Ф
11:30,X,13С113ОС2,X,13Е114РМ2,13Е114РМ2,13Е042ОЕЛ,13Е114РМ2,13Е042ОЕЛ,13Е042ОЕЛ,13Е114РМ2
15:00,X,X,X,X,X,X,X,X,X,X
18:30,X,X,X,X,X,X,X,X,X,X

